"","word","freq"
"nuro光の導入物語＝体験記をブログ記事にしました。","nuro光の導入物語＝体験記をブログ記事にしました。",5
"感謝 ","感謝 ",5
"lunch","lunch",5
"音がないと寂しいので、見てもいないテレビをつけている時間が長くなった。カラオケ番組でうっかり一緒に歌って、隣の部屋からアタックが来る","音がないと寂しいので、見てもいないテレビをつけている時間が長くなった。カラオケ番組でうっかり一緒に歌って、隣の部屋からアタックが来る",5
"食材別の腐り方が学べる。","食材別の腐り方が学べる。",5
"料理記録","料理記録",5
"学生会館","学生会館",5
"ホスト","ホスト",5
"ねこ","ねこ",5
"【今日の積み上げ","【今日の積み上げ",5
"youtubeはじめました","youtubeはじめました",5
"毎日投稿","毎日投稿",5
"スーパーでたまに野菜買うものの使い切れずに捨てる。","スーパーでたまに野菜買うものの使い切れずに捨てる。",5
"町田","町田",5
"少しずつ涼しくなってきましたが、まだまだ日中は暑いですね😭😭","少しずつ涼しくなってきましたが、まだまだ日中は暑いですね😭😭",5
"料理好きな人…","料理好きな人…",5
"最近の平日の夜の過ごし方😊","最近の平日の夜の過ごし方😊",5
"＃岡山市","＃岡山市",5
"生活","生活",5
"ひとりごはん","ひとりごはん",5
"裏アカ女子と繋がりたい","裏アカ女子と繋がりたい",5
"新社会人","新社会人",5
"ジャガイモが進化している。","ジャガイモが進化している。",5
"チェックすべし！","チェックすべし！",5
"安くて、人気の池袋までも出やすい！！","安くて、人気の池袋までも出やすい！！",5
"東京のお部屋探しで穴場といえば練馬区！","東京のお部屋探しで穴場といえば練馬区！",5
"＃一人暮らし　＃シェアハウス　＃物件探し　＃春から大学生","＃一人暮らし　＃シェアハウス　＃物件探し　＃春から大学生",5
"＃東京賃貸　＃賃貸物件　","＃東京賃貸　＃賃貸物件　",5
"学費","学費",5
"未経験","未経験",5
"読書記録","読書記録",5
"本日の勉強終了💪","本日の勉強終了💪",5
"おうちごはんlover","おうちごはんlover",5
"オススメ","オススメ",5
"パスタをやたら作る。","パスタをやたら作る。",5
"部屋探し","部屋探し",5
"でも涼しい","でも涼しい",5
"仕事から家帰ってきたときにエアコン付けっぱなしだった時の絶望感がヤバい","仕事から家帰ってきたときにエアコン付けっぱなしだった時の絶望感がヤバい",5
"ジャワー中に歌おうとするが外に響くのを恐れやめる。","ジャワー中に歌おうとするが外に響くのを恐れやめる。",5
"goodroomjp","goodroomjp",5
"1ヶ月家賃無料","1ヶ月家賃無料",5
